('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         1003849 function calls (974791 primitive calls) in 19.996 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      235    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      233    0.002    0.000    0.008    0.000 enum.py:1607(__and__)
      229    0.001    0.000    0.008    0.000 element.py:525(get_text)
      227    0.001    0.000    0.001    0.000 {built-in method builtins.delattr}
      226    0.000    0.000    0.000    0.000 typing.py:1803(<genexpr>)
      221    0.003    0.000    0.012    0.000 enum.py:354(__setitem__)
      214    0.001    0.000    0.003    0.000 typing.py:351(_deduplicate)
      214    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
      204    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      202    0.001    0.000    0.002    0.000 _models.py:19(enforce_bytes)
      200    0.002    0.000    0.007    0.000 typing.py:379(_remove_dups_flatten)
      200    0.004    0.000    0.058    0.000 typing.py:753(Union)
      199    0.001    0.000    0.006    0.000 css_types.py:360(__init__)
      198    0.002    0.000    0.004    0.000 dataclasses.py:709(_is_type)
      194    0.001    0.000    0.003    0.000 style.py:122(__init__)
      193    0.000    0.000    0.001    0.000 enum.py:432(<genexpr>)
      190    0.001    0.000    0.023    0.000 typing.py:1658(copy_with)
      188    0.000    0.000    0.000    0.000 dataclasses.py:705(_is_kw_only)
      188    0.000    0.000    0.000    0.000 dataclasses.py:699(_is_initvar)
      188    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_classvar)
      181    0.001    0.000    0.001    0.000 enum.py:199(__get__)
      181    0.000    0.000    0.000    0.000 enum.py:1337(value)
      176    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      175    0.001    0.000    0.001    0.000 dataclasses.py:865(_set_new_attribute)
      175    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      171    0.000    0.000    0.000    0.000 enum.py:921(<lambda>)
      169    0.000    0.000    0.001    0.000 typing.py:1105(__hash__)
      166    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      165    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      163    0.002    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
      163    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      160    0.001    0.000    0.001    0.000 typing.py:3794(__getattr__)
      158    0.001    0.000    0.005    0.000 enum.py:1596(__or__)
      158    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      155    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      153    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
      152    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
      151    0.000    0.000    0.000    0.000 dataclasses.py:1172(<genexpr>)
      151    0.000    0.000    0.000    0.000 dataclasses.py:411(<genexpr>)
      146    0.001    0.000    0.007    0.000 <frozen abc>:105(__new__)
      146    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      145    0.015    0.000    0.046    0.000 _compiler.py:470(_get_charset_prefix)
      144    0.000    0.000    0.001    0.000 style.py:146(_make_color)
      142    0.002    0.000    0.026    0.000 typing.py:1634(__getitem__)
      142    0.003    0.000    0.005    0.000 css_parser.py:369(__init__)
  142/137    0.001    0.000    0.018    0.000 css_parser.py:395(freeze)
      142    0.001    0.000    0.012    0.000 css_types.py:203(__init__)
  142/137    0.000    0.000    0.005    0.000 css_parser.py:385(_freeze_relations)
      140    0.002    0.000    0.004    0.000 enum.py:1059(_add_member_)
      140    0.000    0.000    0.003    0.000 typing.py:1757(<genexpr>)
      130    0.003    0.000    0.009    0.000 enum.py:251(__set_name__)
      130    0.000    0.000    0.000    0.000 dataclasses.py:1111(<genexpr>)
      130    0.000    0.000    0.000    0.000 enum.py:248(__init__)
      130    0.000    0.000    0.001    0.000 enum.py:69(_is_internal_class)
      130    0.005    0.000    0.005    0.000 {built-in method builtins.compile}
      127    0.000    0.000    0.001    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.001    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.001    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.001    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.001    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.001    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
      126    0.002    0.000    0.007    0.000 dataclasses.py:768(_get_field)
      126    0.001    0.000    0.010    0.000 parser.py:350(parse_comment)
      126    0.001    0.000    0.008    0.000 _htmlparser.py:285(handle_comment)
      126    0.000    0.000    0.001    0.000 dataclasses.py:383(field)
      126    0.000    0.000    0.000    0.000 dataclasses.py:288(__init__)
      121    0.000    0.000    0.001    0.000 _parser.py:303(checkgroupname)
      121    0.001    0.000    0.003    0.000 _parser.py:273(getuntil)
      116    0.001    0.000    0.002    0.000 dataclasses.py:437(add_fn)
