('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         902524 function calls (875473 primitive calls) in 10.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      187    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.006    0.006 constant.py:1(<module>)
      328    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      132    0.002    0.000    0.006    0.000 typing.py:260(_collect_type_parameters)
       23    0.001    0.000    0.006    0.000 enum.py:498(__new__)
     3393    0.006    0.000    0.006    0.000 filter.py:260(_base_match)
     3238    0.006    0.000    0.006    0.000 parser.py:181(clear_cdata_mode)
       86    0.001    0.000    0.006    0.000 css_parser.py:812(parse_combinator)
     3158    0.006    0.000    0.006    0.000 {built-in method builtins.chr}
     1173    0.003    0.000    0.006    0.000 {built-in method builtins.setattr}
      328    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.005    0.005 _markupbase.py:1(<module>)
        1    0.000    0.000    0.005    0.005 core.py:1(<module>)
        1    0.000    0.000    0.005    0.005 dammit.py:98(EntitySubstitution)
      258    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.005    0.005 calendar.py:1(<module>)
     3443    0.005    0.000    0.005    0.000 element.py:2228(__bool__)
      258    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      581    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        2    0.000    0.000    0.005    0.003 client.py:231(_parse_header_lines)
        5    0.001    0.000    0.005    0.001 request.py:2495(getproxies_environment)
        6    0.000    0.000    0.005    0.001 cookiejar.py:1600(make_cookies)
      307    0.003    0.000    0.005    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.005    0.005 scanner.py:1(<module>)
     2658    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        2    0.000    0.000    0.005    0.002 parser.py:56(parsestr)
        1    0.000    0.000    0.005    0.005 _abc.py:1(<module>)
      250    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      295    0.003    0.000    0.005    0.000 _compiler.py:389(_mk_bitmap)
        1    0.000    0.000    0.005    0.005 typing_extensions.py:1(<module>)
        2    0.000    0.000    0.005    0.002 adapters.py:336(build_response)
        2    0.000    0.000    0.005    0.002 parser.py:41(parse)
        1    0.000    0.000    0.004    0.004 sessions.py:457(prepare_request)
     1720    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.004    0.004 poolmanager.py:1(<module>)
      187    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       40    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.004    0.004 ipaddress.py:2392(_IPv6Constants)
      825    0.003    0.000    0.004    0.000 element.py:2169(get)
       75    0.001    0.000    0.004    0.000 css_parser.py:542(parse_tag_pattern)
        2    0.000    0.000    0.004    0.002 utils.py:816(get_environ_proxies)
       35    0.000    0.000    0.004    0.000 ipaddress.py:2316(__init__)
       23    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
      378    0.002    0.000    0.004    0.000 enum.py:695(__call__)
        2    0.000    0.000    0.004    0.002 socks.py:1(<module>)
      309    0.001    0.000    0.004    0.000 typing.py:164(_type_convert)
      776    0.003    0.000    0.004    0.000 _parser.py:82(groups)
        1    0.000    0.000    0.004    0.004 _internal_utils.py:1(<module>)
      183    0.002    0.000    0.004    0.000 _parser.py:85(opengroup)
        1    0.000    0.000    0.004    0.004 fields.py:1(<module>)
       68    0.002    0.000    0.004    0.000 functools.py:36(update_wrapper)
      411    0.002    0.000    0.004    0.000 _parser.py:264(getwhile)
        5    0.000    0.000    0.004    0.001 feedparser.py:173(feed)
      270    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 __init__.py:444(PercentStyle)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 message.py:1(<module>)
       79    0.000    0.000    0.004    0.000 css_types.py:267(__init__)
       23    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.004    0.004 selectors.py:1(<module>)
      442    0.002    0.000    0.004    0.000 socket.py:89(<lambda>)
      738    0.002    0.000    0.004    0.000 filter.py:322(matches_tag)
      443    0.002    0.000    0.004    0.000 socket.py:94(<lambda>)
      441    0.002    0.000    0.004    0.000 socket.py:84(<lambda>)
      440    0.002    0.000    0.004    0.000 socket.py:79(<lambda>)
        2    0.000    0.000    0.004    0.002 _collections.py:1(<module>)
      343    0.002    0.000    0.004    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.004    0.004 __init__.py:126(EntryPoint)
        1    0.000    0.000    0.004    0.004 queue.py:1(<module>)
